ts,cwnd,rtx,txq,if,rcvd
12.640000,3,0,584,3,2
12.660000,3,0,581,3,2
12.680000,3,0,578,3,2
12.700000,3,0,576,3,2
12.720000,3,0,573,3,2
12.740000,3,0,570,3,2
12.760000,3,0,567,3,2
12.780000,3,0,564,3,2
12.800000,3,0,562,3,2
12.820000,3,0,559,3,2
12.840000,3,0,556,3,2
12.860000,3,0,553,3,2
12.880000,3,0,551,3,2
12.900000,3,0,548,3,2
12.920000,3,0,545,3,2
12.940000,3,0,542,3,2
12.960000,3,0,539,3,2
12.980000,3,0,537,3,2
13.000000,3,0,534,3,2
13.020000,3,0,531,3,2
13.040000,3,0,528,3,2
13.060000,3,0,526,3,2
13.080000,3,0,523,3,2
13.100000,3,0,520,3,2
13.120000,3,0,517,3,2
13.140000,3,0,514,3,2
13.160000,3,0,512,3,2
13.180000,3,0,509,3,2
13.200000,3,0,506,3,2
13.220000,3,0,503,3,2
13.240000,3,0,501,3,2
13.260000,3,0,498,3,2
13.280000,3,0,495,3,2
13.300000,3,0,492,3,2
13.320000,3,0,489,3,2
13.340000,3,0,487,3,2
13.360000,3,0,484,3,2
13.380000,3,0,481,3,2
13.400000,3,0,478,3,2
13.420000,3,0,476,3,2
13.440000,3,0,473,3,2
13.460000,3,0,470,3,2
13.480000,3,0,467,3,2
13.500000,3,0,464,3,2
13.520000,3,0,462,3,2
13.540000,3,0,459,3,2
13.560000,3,0,456,3,2
13.580000,3,0,453,3,2
13.600000,3,0,451,3,2
13.620000,3,0,448,3,2
13.640000,3,0,445,3,2
13.660000,3,0,442,3,2
13.680000,3,0,439,3,2
13.700000,3,0,437,3,2
13.720000,3,0,434,3,2
13.740000,3,0,431,3,2
13.760000,3,0,428,3,2
13.780000,3,0,426,3,2
13.800000,3,0,423,3,2
13.820000,3,0,420,3,2
13.840000,3,0,417,3,2
13.860000,3,0,414,3,2
13.880000,3,0,412,3,2
13.900000,3,0,409,3,2
13.920000,3,0,406,3,2
13.940000,3,0,403,3,2
