ts,cwnd,rtx,txq,if,rcvd
7.260000,3002,0,1455,2095,2
7.280000,3002,0,1452,2095,2
7.300000,3002,0,1450,2095,2
7.320000,3002,0,1447,2095,2
7.340000,3002,0,1444,2095,2
7.360000,3002,0,1441,2095,2
7.380000,3002,0,1438,2095,2
7.400000,3002,0,1436,2095,2
7.420000,3002,0,1433,2095,2
7.440000,3002,0,1430,2095,2
7.460000,3002,0,1427,2095,2
7.480000,3002,0,1425,2095,2
7.500000,3002,0,1422,2095,2
7.520000,3002,0,1419,2095,2
7.540000,3002,0,1416,2095,2
7.560000,3002,0,1413,2095,2
7.580000,3002,0,1411,2095,2
7.600000,3002,0,1408,2095,2
7.620000,3002,0,1405,2095,2
7.640000,3002,0,1402,2095,2
7.660000,3002,0,1400,2095,2
7.680000,3002,0,1397,2095,2
7.700000,3002,0,1394,2095,2
7.720000,3002,0,1391,2095,2
7.740000,3002,0,1388,2095,2
7.760000,3002,0,1386,2095,2
7.780000,3002,0,1383,2095,2
7.800000,3002,0,1380,2095,2
7.820000,3002,0,1377,2095,2
7.840000,3002,0,1375,2095,2
7.860000,3002,0,1372,2095,2
7.880000,3002,0,1369,2095,2
7.900000,3002,0,1366,2095,2
7.920000,3002,0,1363,2095,2
7.940000,3002,0,1361,2095,2
7.960000,3002,0,1358,2095,2
7.980000,3002,0,1355,2095,2
8.000000,3002,0,1352,2095,2
8.020000,3002,0,1350,2095,2
8.040000,3002,0,1347,2095,2
8.060000,3002,0,1344,2095,2
8.080000,3002,0,1341,2095,2
8.100000,3002,0,1338,2095,2
8.120000,3002,0,1336,2095,2
8.140000,3002,0,1333,2095,2
8.160000,3002,0,1330,2095,2
8.180000,3002,0,1327,2095,2
8.200000,3002,0,1325,2095,2
8.220000,3002,0,1322,2095,2
8.240000,3002,0,1319,2095,2
8.260000,3002,0,1316,2095,2
8.280000,3002,0,1313,2095,2
8.300000,3002,0,1311,2095,2
8.320000,3002,0,1308,2095,2
8.340000,3002,0,1305,2095,2
8.360000,3002,0,1302,2095,2
8.380000,3002,0,1300,2095,2
8.400000,3002,0,1297,2095,2
8.420000,3002,0,1294,2095,2
8.440000,3002,0,1291,2095,2
8.460000,3002,0,1288,2095,2
8.480000,3002,0,1286,2095,2
8.500000,3002,0,1283,2095,2
8.520000,3002,0,1280,2095,2
8.540000,3002,0,1277,2095,2
8.560000,3002,0,1275,2095,2
8.580000,3002,0,1272,2095,2
8.600000,3002,0,1269,2095,2
8.620000,3002,0,1266,2095,2
8.640000,3002,0,1263,2095,2
8.660000,3002,0,1261,2095,2
8.680000,3002,0,1258,2095,2
8.700000,3002,0,1255,2095,2
8.720000,3002,0,1252,2095,2
8.740000,3002,0,1250,2095,2
8.760000,3002,0,1247,2095,2
8.780000,3002,0,1244,2095,2
8.800000,3002,0,1241,2095,2
8.820000,3002,0,1238,2095,2
8.840000,3002,0,1236,2095,2
8.860000,3002,0,1233,2095,2
8.880000,3002,0,1230,2095,2
8.900000,3002,0,1227,2095,2
8.920000,3002,0,1225,2095,2
8.940000,3002,0,1222,2095,2
8.960000,3002,0,1219,2095,2
8.980000,3002,0,1216,2095,2
9.000000,3002,0,1213,2095,2
9.020000,3002,0,1211,2095,2
9.040000,3002,0,1208,2095,2
9.060000,3002,0,1205,2095,2
9.080000,3002,0,1202,2095,2
9.100000,3002,0,1200,2095,2
9.120000,3002,0,1197,2095,2
9.140000,3002,0,1194,2095,2
9.160000,3002,0,1191,2095,2
9.180000,3002,0,1188,2095,2
9.200000,3002,0,1186,2095,2
9.220000,3002,0,1183,2095,2
9.240000,3002,0,1180,2095,2
